"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"671","May 2026","U.S. Sugar Supply and Use","Ending Stocks","","Sugar","United States","2026/27","Proj.","Annual","1673.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Exports","","Sugar","United States","2026/27","Proj.","Annual","25.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Exports - Other","","Sugar","United States","2026/27","Proj.","Annual","105.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Florida","","Sugar","United States","2026/27","Proj.","Annual","1942.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Food","","Sugar","United States","2026/27","Proj.","Annual","12259.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","High-tier tariff/other","","Sugar","United States","2026/27","Proj.","Annual","492.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Imports","","Sugar","United States","2026/27","Proj.","Annual","3260.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Louisiana","","Sugar","United States","2026/27","Proj.","Annual","2146.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Mexico","","Sugar","United States","2026/27","Proj.","Annual","1046.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Miscellaneous","","Sugar","United States","2026/27","Proj.","Annual",".00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Non-program","","Sugar","United States","2026/27","Proj.","Annual","1538.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Other Program","","Sugar","United States","2026/27","Proj.","Annual","300.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Production","","Sugar","United States","2026/27","Proj.","Annual","8810.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Stocks to Use Ratio","","Sugar","United States","2026/27","Proj.","Annual","13.50","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Texas","","Sugar","United States","2026/27","Proj.","Annual",".00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Total Supply","","Sugar","United States","2026/27","Proj.","Annual","14062.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Total Use","","Sugar","United States","2026/27","Proj.","Annual","12389.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","TRQ","","Sugar","United States","2026/27","Proj.","Annual","1422.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
